epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.476,0.01,45.91,58.23,0:01:24.984147,0:00:05.714459
2,0.967,0.009999383162408303,66.31,70.81,0:01:24.762096,0:00:05.684489
3,0.760,0.009997532801828657,73.86,75.12,0:01:24.768858,0:00:05.775920
4,0.649,0.00999444937480985,77.73,80.27,0:01:24.576815,0:00:05.687445
5,0.574,0.009990133642141357,80.47,80.95,0:01:24.629443,0:00:05.673659
6,0.512,0.009984586668665639,82.63,80.75,0:01:24.570295,0:00:05.520427
7,0.475,0.009977809823015398,83.61,82.27,0:01:24.552415,0:00:05.701909
8,0.435,0.009969804777275897,85.18,84.00,0:01:24.564731,0:00:05.662703
9,0.404,0.009960573506572387,86.18,82.67,0:01:24.597270,0:02:54.411795
10,0.383,0.009950118288582784,87.04,84.98,0:01:25.226686,0:00:05.689501
11,0.360,0.009938441702975684,87.57,86.19,0:01:24.423369,0:00:05.683702
12,0.346,0.009925546630773864,88.24,86.80,0:01:24.473765,0:00:05.680653
13,0.327,0.009911436253643439,88.78,88.00,0:01:24.474657,0:00:05.659580
14,0.314,0.009896114053108824,89.20,86.38,0:01:24.586563,0:00:05.550494
15,0.299,0.009879583809693733,89.68,87.48,0:01:24.575342,0:00:05.563412
16,0.294,0.009861849601988378,89.95,88.50,0:01:24.581265,0:00:05.662894
17,0.282,0.00984291580564315,90.31,88.18,0:01:24.549983,0:00:05.536040
18,0.273,0.009822787092288985,90.59,87.06,0:01:24.907893,0:00:05.525012
19,0.271,0.00980146842838471,90.76,88.90,0:01:24.599499,0:00:05.682342
20,0.260,0.009778965073991645,91.15,88.18,0:01:24.574756,0:00:05.536397
21,0.255,0.009755282581475762,91.20,89.10,0:01:24.471796,0:00:05.708041
22,0.254,0.00973042679413772,91.15,88.38,0:01:24.456433,0:00:05.539753
23,0.246,0.00970440384477112,91.47,88.44,0:01:24.459634,0:00:05.549158
24,0.240,0.00967722015414933,91.65,89.64,0:01:24.564110,0:00:05.706088
25,0.238,0.00964888242944125,91.91,88.04,0:01:24.480242,0:00:05.524099
26,0.232,0.009619397662556426,92.14,88.77,0:01:24.401011,0:00:05.554624
27,0.234,0.009588773128419898,92.04,87.25,0:01:24.464183,0:00:05.556057
28,0.226,0.009557016383177219,92.23,87.68,0:01:24.429045,0:00:05.525881
29,0.223,0.009524135262330091,92.31,88.28,0:01:24.337718,0:00:05.527853
30,0.221,0.009490137878803071,92.35,89.37,0:01:24.464749,0:00:05.532090
